1997/12/7,The Shawshank Redemption (1994),Star Wars (1977),Schindler's List (1993),The Godfather (1972),Casablanca (1942),Citizen Kane (1941),The Usual Suspects (1995),One Flew Over the Cuckoo's Nest (1975),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Star Wars: Episode V - The Empire Strikes Back (1980),
1998/1/5,The Shawshank Redemption (1994),Star Wars (1977),The Godfather (1972),Schindler's List (1993),Casablanca (1942),Citizen Kane (1941),The Usual Suspects (1995),One Flew Over the Cuckoo's Nest (1975),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Star Wars: Episode V - The Empire Strikes Back (1980),
1998/2/1,Star Wars (1977),The Shawshank Redemption (1994),The Godfather (1972),Titanic (1997),Schindler's List (1993),Casablanca (1942),Citizen Kane (1941),The Usual Suspects (1995),One Flew Over the Cuckoo's Nest (1975),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),
1998/3/1,Star Wars (1977),The Shawshank Redemption (1994),The Godfather (1972),Schindler's List (1993),Casablanca (1942),Titanic (1997),Citizen Kane (1941),The Usual Suspects (1995),One Flew Over the Cuckoo's Nest (1975),Star Wars: Episode V - The Empire Strikes Back (1980),
1998/4/7,Star Wars (1977),The Shawshank Redemption (1994),The Godfather (1972),Schindler's List (1993),Casablanca (1942),Citizen Kane (1941),The Usual Suspects (1995),One Flew Over the Cuckoo's Nest (1975),Star Wars: Episode V - The Empire Strikes Back (1980),Titanic (1997),
1998/5/3,The Shawshank Redemption (1994),Star Wars (1977),The Godfather (1972),Schindler's List (1993),Casablanca (1942),Citizen Kane (1941),The Usual Suspects (1995),One Flew Over the Cuckoo's Nest (1975),Star Wars: Episode V - The Empire Strikes Back (1980),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),
1998/6/3,The Shawshank Redemption (1994),Star Wars (1977),The Godfather (1972),Schindler's List (1993),Casablanca (1942),Citizen Kane (1941),The Usual Suspects (1995),One Flew Over the Cuckoo's Nest (1975),Star Wars: Episode V - The Empire Strikes Back (1980),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),
1998/7/3,The Shawshank Redemption (1994),Star Wars (1977),The Godfather (1972),Schindler's List (1993),Casablanca (1942),Citizen Kane (1941),The Usual Suspects (1995),One Flew Over the Cuckoo's Nest (1975),Star Wars: Episode V - The Empire Strikes Back (1980),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),
1998/8/20,The Godfather (1972),Schindler's List (1993),The Shawshank Redemption (1994),Star Wars (1977),Casablanca (1942),Citizen Kane (1941),One Flew Over the Cuckoo's Nest (1975),The Usual Suspects (1995),Raiders of the Lost Ark (1981),The Godfather: Part II (1974),
1998/9/20,The Godfather (1972),Schindler's List (1993),The Shawshank Redemption (1994),Star Wars (1977),Casablanca (1942),Citizen Kane (1941),One Flew Over the Cuckoo's Nest (1975),The Usual Suspects (1995),Raiders of the Lost Ark (1981),The Godfather: Part II (1974),
1998/10/20,The Godfather (1972),Schindler's List (1993),The Shawshank Redemption (1994),Star Wars (1977),Casablanca (1942),Citizen Kane (1941),One Flew Over the Cuckoo's Nest (1975),The Usual Suspects (1995),Raiders of the Lost Ark (1981),The Godfather: Part II (1974),
1998/10/5,The Godfather (1972),Schindler's List (1993),The Shawshank Redemption (1994),Saving Private Ryan (1998),Star Wars (1977),Casablanca (1942),Citizen Kane (1941),One Flew Over the Cuckoo's Nest (1975),The Usual Suspects (1995),Raiders of the Lost Ark (1981),
1998/11/5,The Godfather (1972),Schindler's List (1993),The Shawshank Redemption (1994),Saving Private Ryan (1998),Star Wars (1977),Casablanca (1942),Citizen Kane (1941),One Flew Over the Cuckoo's Nest (1975),The Usual Suspects (1995),Raiders of the Lost Ark (1981),
1998/12/30,The Shawshank Redemption (1994),The Godfather (1972),Star Wars (1977),Schindler's List (1993),Saving Private Ryan (1998),Casablanca (1942),Citizen Kane (1941),One Flew Over the Cuckoo's Nest (1975),The Usual Suspects (1995),Raiders of the Lost Ark (1981),
1999/1/30,The Shawshank Redemption (1994),The Godfather (1972),Star Wars (1977),Schindler's List (1993),Saving Private Ryan (1998),Casablanca (1942),Citizen Kane (1941),One Flew Over the Cuckoo's Nest (1975),The Usual Suspects (1995),Raiders of the Lost Ark (1981),
