1997/2/22,Star Wars (1977),Trainspotting (1996),The Shawshank Redemption (1994),Wallace & Gromit in The Wrong Trousers (1993),The English Patient (1996),Star Trek: First Contact (1996),The Usual Suspects (1995),A Close Shave (1995),Casablanca (1942),Beautiful Thing (1996),Blade Runner (1982),Citizen Kane (1941),Schindler's List (1993),The Godfather (1972),Pulp Fiction (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Braveheart (1995),Lone Star (1996),Shine (1996),Toy Story (1995),
1997/3/22,Star Wars (1977),Trainspotting (1996),The Shawshank Redemption (1994),Wallace & Gromit in The Wrong Trousers (1993),The English Patient (1996),Star Trek: First Contact (1996),The Usual Suspects (1995),A Close Shave (1995),Casablanca (1942),Beautiful Thing (1996),Blade Runner (1982),Citizen Kane (1941),Schindler's List (1993),The Godfather (1972),Pulp Fiction (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Braveheart (1995),Lone Star (1996),Shine (1996),Toy Story (1995),
1997/4/2,Star Wars (1977),Shine (1996),The Shawshank Redemption (1994),Trainspotting (1996),The English Patient (1996),Wallace & Gromit in The Wrong Trousers (1993),A Close Shave (1995),The Usual Suspects (1995),Casablanca (1942),Star Trek: First Contact (1996),Schindler's List (1993),Beautiful Thing (1996),Citizen Kane (1941),Blade Runner (1982),The Godfather (1972),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Pulp Fiction (1994),Braveheart (1995),Lone Star (1996),Romeo + Juliet (1996),
1997/5/2,Star Wars (1977),Shine (1996),The Shawshank Redemption (1994),Trainspotting (1996),The English Patient (1996),Wallace & Gromit in The Wrong Trousers (1993),A Close Shave (1995),The Usual Suspects (1995),Casablanca (1942),Star Trek: First Contact (1996),Schindler's List (1993),Beautiful Thing (1996),Citizen Kane (1941),Blade Runner (1982),The Godfather (1972),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Pulp Fiction (1994),Braveheart (1995),Lone Star (1996),Romeo + Juliet (1996),
1997/6/2,Star Wars (1977),Shine (1996),The Shawshank Redemption (1994),Trainspotting (1996),The English Patient (1996),Wallace & Gromit in The Wrong Trousers (1993),A Close Shave (1995),The Usual Suspects (1995),Casablanca (1942),Star Trek: First Contact (1996),Schindler's List (1993),Beautiful Thing (1996),Citizen Kane (1941),Blade Runner (1982),The Godfather (1972),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Pulp Fiction (1994),Braveheart (1995),Lone Star (1996),Romeo + Juliet (1996),
1997/7/2,Star Wars (1977),Shine (1996),The Shawshank Redemption (1994),Trainspotting (1996),The English Patient (1996),Wallace & Gromit in The Wrong Trousers (1993),A Close Shave (1995),The Usual Suspects (1995),Casablanca (1942),Star Trek: First Contact (1996),Schindler's List (1993),Beautiful Thing (1996),Citizen Kane (1941),Blade Runner (1982),The Godfather (1972),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Pulp Fiction (1994),Braveheart (1995),Lone Star (1996),Romeo + Juliet (1996),
1997/8/2,Star Wars (1977),Shine (1996),The Shawshank Redemption (1994),Trainspotting (1996),The English Patient (1996),Wallace & Gromit in The Wrong Trousers (1993),A Close Shave (1995),The Usual Suspects (1995),Casablanca (1942),Star Trek: First Contact (1996),Schindler's List (1993),Beautiful Thing (1996),Citizen Kane (1941),Blade Runner (1982),The Godfather (1972),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Pulp Fiction (1994),Braveheart (1995),Lone Star (1996),Romeo + Juliet (1996),
1997/9/12,The Shawshank Redemption (1994),Star Wars (1977),Schindler's List (1993),The Godfather (1972),Casablanca (1942),Citizen Kane (1941),The Usual Suspects (1995),One Flew Over the Cuckoo's Nest (1975),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Star Wars: Episode V - The Empire Strikes Back (1980),Raiders of the Lost Ark (1981),Pulp Fiction (1994),Blade Runner (1982),Rear Window (1954),Fargo (1996),North by Northwest (1959),The Godfather: Part II (1974),Lawrence of Arabia (1962),Shichinin no samurai (1954),Taxi Driver (1976),
1997/10/3,The Shawshank Redemption (1994),Star Wars (1977),Schindler's List (1993),The Godfather (1972),Casablanca (1942),Citizen Kane (1941),The Usual Suspects (1995),One Flew Over the Cuckoo's Nest (1975),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Star Wars: Episode V - The Empire Strikes Back (1980),Raiders of the Lost Ark (1981),Rear Window (1954),Pulp Fiction (1994),Blade Runner (1982),North by Northwest (1959),The Godfather: Part II (1974),Fargo (1996),Lawrence of Arabia (1962),Taxi Driver (1976),Shichinin no samurai (1954),
1997/11/7,Star Wars (1977),The Shawshank Redemption (1994),Schindler's List (1993),The Godfather (1972),Casablanca (1942),Citizen Kane (1941),The Usual Suspects (1995),One Flew Over the Cuckoo's Nest (1975),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Star Wars: Episode V - The Empire Strikes Back (1980),Raiders of the Lost Ark (1981),Rear Window (1954),Pulp Fiction (1994),Blade Runner (1982),North by Northwest (1959),The Godfather: Part II (1974),Lawrence of Arabia (1962),The Silence of the Lambs (1991),Taxi Driver (1976),It's a Wonderful Life (1946),
1997/12/7,The Shawshank Redemption (1994),Star Wars (1977),Schindler's List (1993),The Godfather (1972),Casablanca (1942),Citizen Kane (1941),The Usual Suspects (1995),One Flew Over the Cuckoo's Nest (1975),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Star Wars: Episode V - The Empire Strikes Back (1980),Raiders of the Lost Ark (1981),Rear Window (1954),Pulp Fiction (1994),Blade Runner (1982),North by Northwest (1959),The Godfather: Part II (1974),L.A. Confidential (1997),Lawrence of Arabia (1962),Taxi Driver (1976),The Silence of the Lambs (1991),
1998/1/5,The Shawshank Redemption (1994),Star Wars (1977),The Godfather (1972),Schindler's List (1993),Casablanca (1942),Citizen Kane (1941),The Usual Suspects (1995),One Flew Over the Cuckoo's Nest (1975),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Star Wars: Episode V - The Empire Strikes Back (1980),Titanic (1997),Raiders of the Lost Ark (1981),Rear Window (1954),North by Northwest (1959),L.A. Confidential (1997),Pulp Fiction (1994),The Godfather: Part II (1974),Blade Runner (1982),Lawrence of Arabia (1962),The Silence of the Lambs (1991),
1998/2/1,Star Wars (1977),The Shawshank Redemption (1994),The Godfather (1972),Titanic (1997),Schindler's List (1993),Casablanca (1942),Citizen Kane (1941),The Usual Suspects (1995),One Flew Over the Cuckoo's Nest (1975),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Star Wars: Episode V - The Empire Strikes Back (1980),Rear Window (1954),Raiders of the Lost Ark (1981),L.A. Confidential (1997),The Godfather: Part II (1974),North by Northwest (1959),Blade Runner (1982),Pulp Fiction (1994),The Silence of the Lambs (1991),Lawrence of Arabia (1962),
1998/3/1,Star Wars (1977),The Shawshank Redemption (1994),The Godfather (1972),Schindler's List (1993),Casablanca (1942),Titanic (1997),Citizen Kane (1941),The Usual Suspects (1995),One Flew Over the Cuckoo's Nest (1975),Star Wars: Episode V - The Empire Strikes Back (1980),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Raiders of the Lost Ark (1981),Rear Window (1954),The Godfather: Part II (1974),L.A. Confidential (1997),North by Northwest (1959),Pulp Fiction (1994),Blade Runner (1982),The Silence of the Lambs (1991),Taxi Driver (1976),
1998/4/7,Star Wars (1977),The Shawshank Redemption (1994),The Godfather (1972),Schindler's List (1993),Casablanca (1942),Citizen Kane (1941),The Usual Suspects (1995),One Flew Over the Cuckoo's Nest (1975),Star Wars: Episode V - The Empire Strikes Back (1980),Titanic (1997),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Raiders of the Lost Ark (1981),Rear Window (1954),The Godfather: Part II (1974),L.A. Confidential (1997),North by Northwest (1959),Pulp Fiction (1994),Good Will Hunting (1997),The Silence of the Lambs (1991),Taxi Driver (1976),
1998/5/3,The Shawshank Redemption (1994),Star Wars (1977),The Godfather (1972),Schindler's List (1993),Casablanca (1942),Citizen Kane (1941),The Usual Suspects (1995),One Flew Over the Cuckoo's Nest (1975),Star Wars: Episode V - The Empire Strikes Back (1980),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Raiders of the Lost Ark (1981),Rear Window (1954),The Godfather: Part II (1974),L.A. Confidential (1997),North by Northwest (1959),Good Will Hunting (1997),Pulp Fiction (1994),The Silence of the Lambs (1991),Taxi Driver (1976),Titanic (1997),
1998/6/3,The Shawshank Redemption (1994),Star Wars (1977),The Godfather (1972),Schindler's List (1993),Casablanca (1942),Citizen Kane (1941),The Usual Suspects (1995),One Flew Over the Cuckoo's Nest (1975),Star Wars: Episode V - The Empire Strikes Back (1980),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Raiders of the Lost Ark (1981),Rear Window (1954),The Godfather: Part II (1974),L.A. Confidential (1997),North by Northwest (1959),Good Will Hunting (1997),Pulp Fiction (1994),The Silence of the Lambs (1991),Taxi Driver (1976),Titanic (1997),
1998/7/3,The Shawshank Redemption (1994),Star Wars (1977),The Godfather (1972),Schindler's List (1993),Casablanca (1942),Citizen Kane (1941),The Usual Suspects (1995),One Flew Over the Cuckoo's Nest (1975),Star Wars: Episode V - The Empire Strikes Back (1980),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Raiders of the Lost Ark (1981),Rear Window (1954),The Godfather: Part II (1974),L.A. Confidential (1997),North by Northwest (1959),Good Will Hunting (1997),Pulp Fiction (1994),The Silence of the Lambs (1991),Taxi Driver (1976),Titanic (1997),
1998/8/20,The Godfather (1972),Schindler's List (1993),The Shawshank Redemption (1994),Star Wars (1977),Casablanca (1942),Citizen Kane (1941),One Flew Over the Cuckoo's Nest (1975),The Usual Suspects (1995),Raiders of the Lost Ark (1981),The Godfather: Part II (1974),Rear Window (1954),Star Wars: Episode V - The Empire Strikes Back (1980),L.A. Confidential (1997),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),North by Northwest (1959),The Silence of the Lambs (1991),Psycho (1960),Pulp Fiction (1994),To Kill a Mockingbird (1962),Taxi Driver (1976),
